,,,,,
NAME,DESCRIPTION,COUNTRY,CONTINENT,LAT,LON
Barcelona,"Barcelona  is a city on the coast of northeastern Spain. It is the capital and largest city of the autonomous community of Catalonia, as well as the second most populous municipality of Spain. With a population of 1.6 million within city limits, its urban area extends to numerous neighbouring municipalities within the Province of Barcelona and is home to around 4.8 million people, making it the fifth most populous urban area in the European Union after Paris, the Ruhr area, Madrid, and Milan. 
It is one of the largest metropolises on the Mediterranean Sea, located on the coast between the mouths of the rivers Llobregat and Besòs, and bounded to the west by the Serra de Collserola mountain range, the tallest peak of which is 512 metres.",Spain,EU,"41,3887900","2,5899000"
São Paulo,"São Paulo is a city in the Southeast Region of Brazil. Listed by the GaWC as an alpha global city, the municipality of São Paulo is the most populous city proper in Brazil, the Americas, the Western Hemisphere and the Southern Hemisphere, as well as the world's 4th largest city proper by population. Additionally, São Paulo is the largest Portuguese-speaking city in the world. The city is the capital of the surrounding state of São Paulo, the most populous and wealthiest state in Brazil. It exerts strong international influences in commerce, finance, arts and entertainment.[7] The city's name honors the Apostle, Saint Paul of Tarsus. The city's metropolitan area, the Greater São Paulo, ranks as the most populous in Brazil and the 12th most populous on Earth. The process of conurbation between the metropolitan areas around the Greater São Paulo (Campinas, Santos, Sorocaba and São José dos Campos) created the São Paulo Macrometropolis,[8] a megalopolis with more than 30 million inhabitants, one of the most populous urban agglomerations in the world.",Brazil,LATAM,"-23,5475000","-46,6361100"
Mexico City,"Mexico City, abbreviated as CDMX; is the capital and largest city of Mexico, as well as the most populous city in North America. Mexico City is one of the most important cultural and financial centers in the world. It is located in the Valley of Mexico (Valle de México), a large valley in the high plateaus in the center of Mexico. The city has 16 subdivisions known as boroughs or demarcaciones territoriales. ",Mexico,LATAM,"19,4284700","-99,1276600"
New York,"New York, often called New York City to distinguish it from New York State, or NYC for short, is the most populous city in the United States. New York City is also the most densely populated major city in the United States. Located at the southern tip of the State of New York, the city is the center of the New York metropolitan area, the largest metropolitan area in the world by urban area. With over 20 million people in its metropolitan statistical area and approximately 23 million in its combined statistical area, it is one of the world's most populous megacities. New York City has been described as the cultural, financial, and media capital of the world, significantly influencing commerce, entertainment, research, technology, education, politics, tourism, art, fashion, and sports, and is the most photographed city in the world. Home to the headquarters of the United Nations,New York is an important center for international diplomacy, and has sometimes been called the capital of the world.",EEUU,USA,"40,7142700","-74,0059700"
Rio de Janeiro,"Rio de Janeiro or simply Rio, is the second-most populous city in Brazil and the sixth-most populous in the Americas. Rio de Janeiro is the capital of the state of Rio de Janeiro, Brazil's third-most populous state, after São Paulo and Minas Gerais. Part of the city has been designated as a World Heritage Site, named ""Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea"", by UNESCO on 1 July 2012 as a Cultural Landscape",Brazil,LATAM,"-22,9064200","-43,1822300"
Los Ángeles,"Los Angeles , often spoken and written as its initialism, L.A., is the largest city in California. With a 2020 population of 3,898,747 it is the second-largest city in the United States, after New York City, as well as the third-largest city in North America, after Mexico City and New York City. Los Angeles is known for its Mediterranean climate, ethnic and cultural diversity, Hollywood entertainment industry and sprawling metropolitan area. ",EEUU,USA,"34,0522300","-118,2436800"
Hong Kong,"Hong Kong , officially the Hong Kong Special Administrative Region of the People's Republic of China (HKSAR), is a metropolitan area and special administrative region of China on the eastern Pearl River Delta in the South. With over 7.5 million residents of various nationalities[e] in a 1,104-square-kilometre (426 sq mi) territory, Hong Kong is one of the most densely populated places in the world. Hong Kong is also one of the most developed cities in the world, with the most expensive housing.",China,AS,"22,3964280","114,1094970"
Beijing,"Beijing , alternatively romanized as Peking, is the capital of the People's Republic of China. It is the world's most populous national capital city, with over 21 million residents within an administrative area of 16,410.5 km2 (6336 sq. mi.). It is located in Northern China, and is governed as a municipality under the direct administration of the State Council with 16 urban, suburban, and rural districts.Beijing is mostly surrounded by Hebei Province with the exception of neighboring Tianjin to the southeast; together, the three divisions form the Jingjinji megalopolis and the national capital region of China.",China,AS,"39,9075000","116,3972300"
Tokyo,"Tokyo, officially the Tokyo Metropolis , is the capital and most populous prefecture of Japan. Located at the head of Tokyo Bay, the prefecture forms part of the Kantō region on the central Pacific coast of Japan's main island of Honshu. Tokyo is the political and economic center of the country, as well as the seat of the Emperor of Japan and the national government. As of 2021, the prefecture has an estimated population of 14.04 million. The Greater Tokyo Area is the most populous metropolitan area in the world, with an estimated 37.468 million residents in 2018.",Japan,AS,"35,6895000","139,6917100"
Macau,"Macau, also spelled Macao and officially the Macao Special Administrative Region of the People's Republic of China (MSAR), is a city and special administrative region of the People's Republic of China in the western Pearl River Delta by the South China Sea. With a population of about 680,000mand an area of 32.9 km2 (12.7 sq mi), it is the most densely populated region in the world.",China,AS,"22,1987450","113,5438730"
London,"London is the capital and largest city of England and the United Kingdom. Standing on the River Thames in south-east England, it has been a major settlement for two millennia.The City of London, its ancient core and financial centre, was founded by the Romans as Londinium and retains boundaries close to its medieval ones.Since the 19th century,""London"" has also referred to the metropolis around this core, historically split between the counties of Middlesex, Essex, Surrey, Kent, and Hertfordshire,which largely makes up Greater London,the region governed by the Greater London Authority.The City of Westminster, to the west of the City, has for centuries held the national government and parliament.
London has four World Heritage Sites: the Tower of London; Kew Gardens; the Palace of Westminster, along with Westminster Abbey, and St Margaret's Church; and the historic settlement in Greenwich, where the Royal Observatory, Greenwich defines the Prime Meridian and Greenwich Mean Time.Other landmarks include Buckingham Palace, the London Eye, Piccadilly Circus, St Paul's Cathedral, Tower Bridge and Trafalgar Square. It has numerous museums, galleries, libraries and sporting venues, including the British Museum, National Gallery, Natural History Museum, Tate Modern, British Library and West End theatres.The London Underground is the oldest rapid transit system in the world.
London is one of the major classical and popular music capitals of the world and hosts major music corporations, such as Universal Music Group International and Warner Music Group, as well as countless bands, musicians and industry professionals.",UK,EU,"51,5085300","-0,1257400"
Prague,"Situated on the Vltava river, Prague is home to about 1.3 million people, while its metropolitan area is estimated to have a population of 2.7 million.The city has a temperate oceanic climate, with relatively warm summers and chilly winters.
Prague is a political, cultural, and economic centre of central Europe complete with a rich history. Founded during the Romanesque and flourishing by the Gothic, Renaissance and Baroque eras, Prague was the capital of the Kingdom of Bohemia and the main residence of several Holy Roman Emperors, most notably of Charles IV
The city is traditionally one of the cultural centres of Europe, hosting many cultural events. Some of the significant cultural institutions include the National Theatre and the Estates Theatre (Stavovské or Tylovo or Nosticovo divadlo), where the premières of Mozart's Don Giovanni and La clemenza di Tito were held. Other major cultural institutions are the Rudolfinum which is home to the Czech Philharmonic Orchestra and the Municipal House which is home to the Prague Symphony Orchestra. The Prague State Opera (Státní opera) performs at the Smetana Theatre.",Czech Republic,EU,"50,0880400","14,4207600"
Brussels,"Brussels is the most densely populated and the richest region in Belgium in terms of GDP per capita.
Brussels is known for its cuisine and gastronomy,as well as its historical and architectural landmarks; some of them are registered as UNESCO World Heritage Sites.Main attractions include its historic Grand Place, Manneken Pis, the Atomium, and cultural institutions such as La Monnaie/De Munt and the Museums of Art and History. Due to its long tradition of Belgian comics, Brussels is also hailed as a capital of the comic strip. Brussels is known for its local waffle, its chocolate, its French fries and its numerous types of beers. The Brussels sprout, which has long been popular in Brussels, and may have originated there, is also named after the city.",Belgium,EU,"50,8504500","4,3487800"
Bucharest,"Capital and largest city of Romania, as well as its cultural, industrial, and financial centre.
Bucharest has a growing cultural scene, in fields including the visual arts, performing arts, and nightlife. Unlike other parts of Romania, such as the Black Sea coast or Transylvania, Bucharest's cultural scene has no defined style, and instead incorporates elements of Romanian and international culture.
Bucharest has landmark buildings and monuments. Perhaps the most prominent of these is the Palace of the Parliament, built in the 1980s during the rule of Communist dictator Nicolae Ceaușescu. The largest Parliament building in the world, the palace houses the Romanian Parliament, as well as the National Museum of Contemporary Art. The building boasts one of the largest convention centres in the world",Romania,EU,"44,4322500","26,1062600"
Vienna,"Vienna is the national capital, largest city, and one of nine states of Austria. Vienna is Austria's most populous city, with about 2 million inhabitants (2.6 million within the metropolitan area, nearly one third of the country's population), and its cultural, economic, and political centre. It is the 6th-largest city by population within city limits in the European Union. 
Vienna is known for its high quality of life. In a 2005 study of 127 world cities, the Economist Intelligence Unit ranked the city first (in a tie with Vancouver and San Francisco) for the world's most livable cities. Between 2011 and 2015, Vienna was ranked second, behind Melbourne. Monocle's 2015 ""Quality of Life Survey"" ranked Vienna second on a list of the top 25 cities in the world ""to make a base within""
Music culture: Famous composers including Wolfgang Amadeus Mozart, Joseph Haydn, Ludwig van Beethoven, Ferdinand Ries, Nina Stollewerk, Franz Schubert, Johannes Brahms, Gustav Mahler, Robert Stolz, and Arnold Schoenberg have worked in Vienna. Art and culture had a long tradition in Vienna, including theater, opera, classical music and fine arts.
Museums: The Hofburg is the location of the Imperial Treasury (Schatzkammer), holding the imperial jewels of the Habsburg dynasty. The Sisi Museum (a museum devoted to Empress Elisabeth of Austria) allows visitors to view the imperial apartments as well as the silver cabinet.",Austria,EU,"48,2084900","16,3720800"
Atenas,"Athens is the capital and largest city of Greece. Athens dominates the Attica region and is one of the world's oldest cities, with its recorded history spanning over 3,400 years and its earliest human presence starting somewhere between the 11th and 7th millennium BC.
Classical Athens was a powerful city-state. It was a centre for the arts, learning and philosophy, and the home of Plato's Academy and Aristotle's Lyceum.It is widely referred to as the cradle of Western civilization and the birthplace of democracy, largely because of its cultural and political impact on the European continent—particularly Ancient Rome. In modern times, Athens is a large cosmopolitan metropolis and central to economic, financial, industrial, maritime, political and cultural life in Greece. In 2021, Athens' urban area hosted more than three and a half million people, which is around 35% of the entire population of Greece.
The city is a world centre of archaeological research. Along with national institutions, such as the Athens University and the Archaeological Society, there are multiple archaeological Museums including the National Archaeological Museum, the Cycladic Museum, the Epigraphic Museum, the Byzantine & Christian Museum, as well as museums at the ancient Agora, Acropolis, Kerameikos, and the Kerameikos Archaeological Museum. The city is also home to the Demokritos laboratory for Archaeometry, alongside regional and national archaeological authorities that form part of the Greek Department of Culture.
Athens incorporates architectural styles ranging from Greco-Roman and Neoclassical to modern times. ",Greece,EU,"37,9837600","23,7278400"
Oslo,"Oslo is the capital and most populous city of Norway, as well as its political, economic and cultural center. Politically, it is both a municipality and one of the country's nineteen provinces. It is the third most populous city and urban area in Scandinavia.
Oslo is the leading city in terms of education in Norway. It is home to several higher education institutions, mainly public, covering most professional fields.
Tourism
Among its tourist attractions are:
The castle and fortress of Akershus.
The Town Hall, site of the annual Nobel Peace Prize ceremony.
The Holmenkollen ski jumping trampoline, site of the 1952 Winter Olympics, in Holmenkollen.
The Holmenkollen ski museum in Holmenkollen
The Kon-Tiki Museum, in Bygdøy
The Munch Museum, in Tøyen
The National Gallery
The Norwegian Maritime Museum, including the ships Fram and Gjøa, in Bygdøy
The Royal Palace

Translated with www.DeepL.com/Translator (free version)",Norway,EU,"59,9127300","10,7460900"
Cairo,"Cairo is the capital and largest city of Egypt. The Cairo metropolitan area, with a population of 21.3 million,is the largest metropolitan area in the Middle East, the largest metropolitan area in the Arab world, the second largest in Africa, and the world’s sixth largest. Cairo is associated with ancient Egypt, as the Giza pyramid complex and the ancient city of Memphis are located in its geographical area. Today, the Egyptian capital has the oldest and largest film and music industries in the Middle East and the Arab world, as well as the world's second-oldest institution of higher learning, Al-Azhar University. Many international media, businesses, and organizations have regional headquarters in the city; the Arab League has had its headquarters in Cairo for most of its existence.
The majority of Cairenes make food for themselves and make use of local produce markets.The restaurant scene includes traditional Middle Eastern cuisine as well as local staples such as kushari. The city's most exclusive restaurants are typically concentrated in Zamalek and around the luxury hotels lining the shore of the Nile near the Garden City district.
Among the places of worship, they are predominantly Muslim mosques.There are also Christian churches and temples",Egypt,CAF,"30,0626300","31,2496700"
Amsterdam," Originating as a small fishing village in the late 12th century, Amsterdam became one of the most important ports in the world during the Dutch Golden Age of the 17th century, and became the leading centre for finance and trade.
Amsterdam's main attractions include its historic canals, the Rijksmuseum, the Van Gogh Museum, the Stedelijk Museum, Hermitage Amsterdam, the Concertgebouw, the Anne Frank House, the Scheepvaartmuseum, the Amsterdam Museum, the Heineken Experience, the Royal Palace of Amsterdam, Natura Artis Magistra, Hortus Botanicus Amsterdam, NEMO, the red-light district and many cannabis coffee shops.",Netherlands,EU,"52,3740300","4,8896900"
Osaka,"Osaka was traditionally considered Japan's economic hub. By the Kofun period it had developed into an important regional port, and in the 7th and 8th centuries, it served briefly as the imperial capital. Osaka continued to flourish during the Edo period (1603–1867) and became known as a center of Japanese culture. Following the Meiji Restoration, Osaka greatly expanded in size and underwent rapid industrialization. In 1889, Osaka was officially established as a municipality. The construction boom accelerated population growth throughout the following decades, and by the 1900s, Osaka was the industrial hub in the Meiji and Taishō periods. Osaka made noted contributions to redevelopment, urban planning and zoning standards in the postwar period, the city developed rapidly as one of the major financial center in the Keihanshin Metropolitan Area.
Osaka has a large number of wholesalers and retail shops: 25,228 and 34,707 respectively in 2004, according to the city statistics. Many of them are concentrated in the wards of Chuō (10,468 shops) and Kita (6,335 shops). Types of shops vary from malls to conventional shōtengai shopping arcades, built both above- and underground.Shōtengai are seen across Japan, and Osaka has the longest one in the country.The Tenjinbashi-suji arcade stretches from the road approaching the Tenmangū shrine and continues for 2.6 km (1.6 miles) going north to south. The stores along the arcade include commodities, clothing, and catering outlets.
Osaka is known for its fine sake, which is made with fresh water from the prefecture's mountains.Osaka's culinary prevalence is the result of a location that has provided access to high-quality ingredients, a high population of merchants, and proximity to the ocean and waterway trade.In recent years, Osaka has started to garner more attention from foreigners with the increased popularity of cooking and dining in popular culture.
",Japan,AS,"34,6937400","135,5021800"
Bogota,"During the Spanish period and between 1991 and 2000, is the capital and largest city of Colombia, administered as the Capital District, as well as the capital of, though not part of, the surrounding department of Cundinamarca. Bogotá is a territorial entity of the first order, with the same administrative status as the departments of Colombia. It is the political, economic, administrative and industrial center of the country.
Bogotá has many cultural venues including 58 museums, 62 art galleries, 33 library networks, 45 stage theaters, 75 sports and attraction parks, and over 150 national monuments.Many of these are renowned globally such as: The Luis Ángel Arango Library, the most important in the region which receives well over 6 million visitors a year;The Colombian National Museum, one of the oldest in the Americas, dating back to 1823;The Ibero-American Theater Festival, largest of its kind in the world, receives 2 million attendees enjoying over 450 performances across theaters and off the street;The Bogotá Philharmonic is the most important symphony orchestra in Colombia, with over 100 musicians and 140 performances a year.The city has been a member of the UNESCO Creative Cities Network in the category of music since March 2012.
",Colombia,LATAM,"4,6097100","-74,0817500"
Bangkok,"Has an estimated population of 10.539 million as of 2020, 15.3 percent of the country's population. Over fourteen million people lived within the surrounding Bangkok Metropolitan Region at the 2010 census, making Bangkok an extreme primate city, dwarfing Thailand's other urban centres in both size and importance to the national economy.

Bangkok traces its roots to a small trading post during the Ayutthaya Kingdom in the 15th century, which eventually grew and became the site of two capital cities, Thonburi in 1768 and Rattanakosin in 1782. Bangkok was at the heart of the modernization of Siam, later renamed Thailand, during the late-19th century, as the country faced pressures from the West. The city was at the centre of Thailand's political struggles throughout the 20th century, as the country abolished absolute monarchy, adopted constitutional rule, and underwent numerous coups and several uprisings. The city, incorporated as a special administrative area under the Bangkok Metropolitan Administration in 1972, grew rapidly during the 1960s through the 1980s and now exerts a significant impact on Thailand's politics, economy, education, media and modern society.
The culture of Bangkok reflects its position as Thailand's centre of wealth and modernisation. The city has long been the portal of entry of Western concepts and material goods, which have been adopted and blended with Thai values to various degrees by its residents. This is most evident in the lifestyles of the expanding middle class. Conspicuous consumption serves as a display of economic and social status, and shopping centres are popular weekend hangouts.[108] Ownership of electronics and consumer products such as mobile phones is ubiquitous. This has been accompanied by a degree of secularism, as religion's role in everyday life has rather diminished. Although such trends have spread to other urban centres, and, to a degree, the countryside, Bangkok remains at the forefront of social change.",Thailand,AS,"13,7539800","100,5014400"
Lima,"Lima is the capital and the largest city of Peru. It is located in the valleys of the Chillón, Rímac and Lurín Rivers, in the desert zone of the central coastal part of the country, overlooking the Pacific Ocean. Together with the seaport of Callao, it forms a contiguous urban area known as the Lima Metropolitan Area. With a population of more than 9.7 million and more than 10.7 million in it's metropolitan area,Lima is one of the largest cities in the Americas.
Nowadays, the city is considered to be the political, cultural, financial and commercial center of the country. Internationally, it is one of the thirty most populated urban agglomerations in the world. Due to its geostrategic importance, the Globalization and World Cities Research Network has categorized it as a ""beta"" tier city.
Strongly influenced by European, Andean, African and Asian culture, Lima is a melting pot, due to colonization, immigration and indigenous influences.The Historic Centre was declared a UNESCO World Heritage Site in 1988.
The city is known as the Gastronomical Capital of the Americas, mixing Spanish, Andean and Asian culinary traditions.
Lima's beaches, located along the northern and southern ends of the city, are heavily visited during the summer. Restaurants, clubs and hotels serve the beachgoers.Lima has a vibrant and active theater scene, including classic theater, cultural presentations, modern theater, experimental theater, dramas, dance performances and theater for children. Lima is home to the Municipal Theater, Segura Theater, Japanese-Peruvian Theater, Marsano Theater, British theater, Theater of the PUCP Cultural Center and the Yuyachkani Theater.",Peru,LATAM,"-12,0431800","-77,0282400"
Marseille,"Marseille, also spelled Marseilles, ancient Massilia, or Massalia, city, capital of Bouches-du-Rhône département, southern France, and also the administrative and commercial capital of Provence-Alpes-Côte d’Azur, one of France’s fastest growing régions. Located west of the French Riviera, Marseille is one of the major ports of the Mediterranean Sea. It is situated on the Mediterranean’s Gulf of Lion within a semicircle of limestone hills and lies 536 miles (863 kilometres) south-southeast of Paris by rail and 218 miles southeast of Lyon. Marseille is known for many things but primarily for its unique culture and cuisine, including the garlic- and saffron-flavoured fish stew called bouillabaisse. Marseille is well known for producing soap, an industry dating back to the 15th century. Other industrial activities in its history have included food processing, shipbuilding, metallurgy, clothing manufacture, chemicals production, and precision engineering.",France,EU,"43,2969500","5,3810700"
Lyon,"Lyon , English Lyons, City (pop., 2006 est.: city, 472,305; metro. area, 1,417,463), east-central France. Located at the confluence of the Rhône and Saône rivers, it was founded as the Roman military colony Lugdunum in 43 BC (see Lorraine) and became a principal city of Gaul. It was incorporated in 1032 into the Holy Roman Empire and in 1312 into the kingdom of France. It flourished economically in the 15th century, and by the 17th century it was the silk-manufacturing centre of Europe. It was a centre of the French Resistance movement during World War II. A major river port, it has a diversified economy, including textile, metallurgical, and printing industries. Its many ancient buildings include a Roman theatre, a 12th-century Gothic cathedral, and a 15th-century palace.",France,EU,"45,7484600","4,8467100"
Toulouse,"The city of Toulouse, located on the Garonne plain in the heart of southwest France, half way between the Atlantic and the Mediterranean, is more important now than it has been for many centuries. Since 2016, the fourth-largest city in France has become the capital of the second largest region of France, the new region of ""Occitanie"", which stretches  from the Rhone in the east to within 60 miles of the Atlantic coast in the west. Modern Occitania is similar in extent to the great County of Toulouse which,  from the 9th century until the end of the 13th, was an independent territory of southwest France. Governed first by the Counts of Toulouse, from the 12th century onwards the city later became run by a council of administrators, known as  the ""Capitulaires"": the council or parliament building was the Capitole, a building that stood close by what is now recognised as the centre point of modern Toulouse, the great Place du Capitole, one of the finest urban piazzas anywhere in the world.",France,EU,"43,6042600","1,4436700"
Nantes,"Nantes, city, Loire-Atlantique département, Pays de la Loire région, western France. Nantes is situated at the head of the estuary of the Loire River, where it is joined by the Erdre and the Sèvre rivers, 35 miles (56 km) from the sea and southwest of Paris. It is one of the French towns that has changed the most in the 20th and 21st centuries.",France,EU,"43,2172500","-1,55336"
Montpellier,"Montpellier, city, capital of Hérault département and second largest city in the Occitanie région, southern France, located 7 miles (12 km) from the Mediterranean coast. An old university city, Montpellier is the chief administrative and commercial centre of the Occitanie region. Situated in a fertile plain, the city has grown up around its old quarters, contained within boulevards on the site of the former city walls. It is famed for the terraced 17th- and 18th-century Promenade du Peyrou, which offers views of the Mediterranean and of the city’s elegant mansions. The Botanical Gardens, founded by Henry IV in 1593, are the oldest in France. The F.-X. Fabre Museum contains one of the richest French collections of paintings in existence. The 14th-century Gothic cathedral has been heavily restored.",France,EU,"43,61093","3,87635"
Hamburg,"Hamburg , City (pop., 2002 est.: city, 1,726,363; metro. area, 2,515,468), constituting a state, northern Germany. Covering 292 sq mi (755 sq km), it is located on the Elbe River and is Germany’s largest port. It grew around the 9th-century castle of Hammaburg. Treaties with Lübeck in the mid-13th century led to the formation of the Hanseatic League, of which it was a leader. Incorporated into the French Empire (1810–14), it became a member of the German Confederation as a free city in 1815. In World War II Allied firebombing killed some 55,000 people and devastated the city. It was rapidly rebuilt after the war. The birthplace of Felix Mendelssohn and Johannes Brahms and home to the Hamburg Opera, it enjoys a distinguished musical history. It is Germany’s foremost industrial city and northern Germany’s chief economic centre",Germany,EU,"53,55073","9,99302"
